,VDM_file,Cage_VDM,VDM_Time,variable,value,VDM_datetime,VDM_timestamp,VDM_date,VDM_day,VDM_time,VDM_hour,VDM_min,VDM_second,ld_seg,VDM_drink,RFID_eventDuration,RFID_assign_id_pre,RFID_assign_var_pre,RFID_datetime_start_pre,RFID_datetime_end_pre,ld_cycle,ld_day,VDM_RFID_timediff,VDM_RFID_timediff_bool
0,c.br.o.g_fm_211213.csv,6,12/13/21 16:28:26,drink_2,0.021,2021-12-13 16:28:26.000000000,1639412906.0,2021-12-13,13,16:28:26,16,28,26,light,VDM_blueras,3.585,041AC028F2,blue_ras,2021-12-13 16:28:20.211024000,2021-12-13 16:28:23.796024000,light,1.0,2.203976,diff
1,c.br.o.g_fm_211213.csv,6,12/13/21 17:18:49,drink_2,0.021,2021-12-13 17:18:49.000000000,1639415929.0,2021-12-13,13,17:18:49,17,18,49,light,VDM_blueras,0.075,041AC028F2,blue_ras,2021-12-13 17:13:38.625974400,2021-12-13 17:13:38.700974400,light,1.0,310.299025,diff
2,c.br.o.g_fm_211213.csv,6,12/13/21 17:27:34,drink_2,0.021,2021-12-13 17:27:34.000000000,1639416454.0,2021-12-13,13,17:27:34,17,27,34,light,VDM_blueras,1.113,041AC006F3,blue_ras,2021-12-13 17:27:08.808969600,2021-12-13 17:27:09.921969600,light,1.0,24.07803,diff
3,c.br.o.g_fm_211213.csv,6,12/13/21 17:27:36,drink_2,0.021,2021-12-13 17:27:36.000000000,1639416456.0,2021-12-13,13,17:27:36,17,27,36,light,VDM_blueras,1.113,041AC006F3,blue_ras,2021-12-13 17:27:08.808969600,2021-12-13 17:27:09.921969600,light,1.0,26.07803,diff
4,c.br.o.g_fm_211213.csv,6,12/13/21 17:36:31,drink_2,0.042,2021-12-13 17:36:31.000000000,1639416991.0,2021-12-13,13,17:36:31,17,36,31,light,VDM_blueras,2.09,041AC033A1,blue_ras,2021-12-13 17:36:22.228963199,2021-12-13 17:36:24.318963199,light,1.0,6.681036,diff
5,c.br.o.g_fm_211213.csv,5,12/13/21 17:39:47,drink_2,0.021,2021-12-13 17:39:47.000000000,1639417187.0,2021-12-13,13,17:39:47,17,39,47,light,VDM_blueras,27.64,041ABFF7C1,blue_ras,2021-12-13 17:39:40.110019200,2021-12-13 17:40:07.750019200,light,1.0,0.0,same
6,c.br.o.g_fm_211213.csv,5,12/13/21 17:39:48,drink_2,0.021,2021-12-13 17:39:48.000000000,1639417188.0,2021-12-13,13,17:39:48,17,39,48,light,VDM_blueras,27.64,041ABFF7C1,blue_ras,2021-12-13 17:39:40.110019200,2021-12-13 17:40:07.750019200,light,1.0,0.0,same
7,c.br.o.g_fm_211213.csv,6,12/13/21 17:43:04,drink_2,0.021,2021-12-13 17:43:04.000000000,1639417384.0,2021-12-13,13,17:43:04,17,43,4,light,VDM_blueras,0.839,041AC033A1,blue_ras,2021-12-13 17:43:02.126006400,2021-12-13 17:43:02.965006400,light,1.0,1.034993,diff
8,c.br.o.g_fm_211213.csv,6,12/13/21 17:43:06,drink_2,0.042,2021-12-13 17:43:06.000000000,1639417386.0,2021-12-13,13,17:43:06,17,43,6,light,VDM_blueras,0.839,041AC033A1,blue_ras,2021-12-13 17:43:02.126006400,2021-12-13 17:43:02.965006400,light,1.0,3.034993,diff
9,c.br.o.g_fm_211213.csv,6,12/13/21 17:44:24,drink_2,0.021,2021-12-13 17:44:24.000000000,1639417464.0,2021-12-13,13,17:44:24,17,44,24,light,VDM_blueras,1.254,041AC006F3,blue_ras,2021-12-13 17:44:23.075980800,2021-12-13 17:44:24.329980800,light,1.0,0.0,same
