,Round,Startdate,SIP_Cage,IdRFID,Animal,ARF_Cage,Sex,weight_pre,notes,index,VDM_file,Cage_VDM,VDM_Time,variable,value,VDM_datetime,VDM_timestamp,VDM_date,VDM_day,VDM_time,VDM_hour,VDM_min,VDM_second,ld_seg,VDM_drink,RFID_eventDuration,RFID_assign_id_pre,RFID_assign_var_pre,RFID_datetime_start_pre,RFID_datetime_end_pre,ld_cycle,ld_day,VDM_RFID_timediff,VDM_RFID_timediff_bool,day_count,min_count,sec_count,hour_count_running,min_count_running,sec_count_running,Substance
0,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,1528,c.br.o.g_fm_211213.csv,2,12/16/21 05:42:47,drink_1,0.021,2021-12-16 05:42:47,1639633367.0,2021-12-16,16,05:42:47,5,42,47,dark_am,VDM_cherry,0.344,041ABFF5CF,cherry,2021-12-16 05:42:46.542038400,2021-12-16 05:42:46.886038400,dark,4.0,0.113961,diff,4,342,20567,77,4662,279707,cherry
1,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,1862,c.br.o.g_fm_211213.csv,2,12/16/21 22:30:14,drink_1,0.021,2021-12-16 22:30:14,1639693814.0,2021-12-16,16,22:30:14,22,30,14,dark_pm,VDM_cherry,0.715,041ABFF5CF,cherry,2021-12-16 22:30:13.362969600,2021-12-16 22:30:14.077969600,dark,5.0,0.0,same,4,1350,81014,94,5670,340154,cherry
2,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,2478,c.br.o.g_fm_211213.csv,2,12/18/21 00:27:29,drink_1,0.021,2021-12-18 00:27:29,1639787249.0,2021-12-18,18,00:27:29,0,27,29,dark_am,VDM_cherry,0.536,041ABFF5CF,cherry,2021-12-18 00:27:28.700006400,2021-12-18 00:27:29.236006400,dark,6.0,0.0,same,6,27,1649,120,7227,433589,cherry
3,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,2931,c.br.o.g_fm_211213.csv,2,12/18/21 20:39:05,drink_1,0.021,2021-12-18 20:39:05,1639859945.0,2021-12-18,18,20:39:05,20,39,5,dark_pm,VDM_cherry,0.653,041ABFF5CF,cherry,2021-12-18 20:39:04.101004800,2021-12-18 20:39:04.754004800,dark,7.0,0.245995,diff,6,1239,74345,140,8439,506285,cherry
4,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,3934,c.br.o.g_fm_211213.csv,2,12/13/21 21:45:28,drink_4,0.021,2021-12-13 21:45:28,1639431928.0,2021-12-13,13,21:45:28,21,45,28,dark_pm,VDM_grape,1.358,041ABFF5CF,grape,2021-12-13 21:45:26.933990400,2021-12-13 21:45:28.291990400,dark,2.0,0.0,same,1,1305,78328,21,1305,78268,grape
5,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,3938,c.br.o.g_fm_211213.csv,2,12/13/21 21:53:18,drink_4,0.021,2021-12-13 21:53:18,1639432398.0,2021-12-13,13,21:53:18,21,53,18,dark_pm,VDM_grape,0.081,041ABFF5CF,grape,2021-12-13 21:53:17.677046400,2021-12-13 21:53:17.758046400,dark,2.0,0.241953,diff,1,1313,78798,21,1313,78738,grape
6,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5310,c.br.o.g_fm_211213.csv,2,12/15/21 04:38:47,drink_4,0.021,2021-12-15 04:38:47,1639543127.0,2021-12-15,15,04:38:47,4,38,47,dark_am,VDM_grape,62.76,041ABFF5CF,grape,2021-12-15 04:38:17.388038400,2021-12-15 04:39:20.148038400,dark,3.0,0.0,same,3,278,16727,52,3158,189467,grape
7,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5324,c.br.o.g_fm_211213.csv,2,12/15/21 04:42:18,drink_4,0.021,2021-12-15 04:42:18,1639543338.0,2021-12-15,15,04:42:18,4,42,18,dark_am,VDM_grape,124.245,041ABFF5CF,grape,2021-12-15 04:41:27.092025600,2021-12-15 04:43:31.337025600,dark,3.0,0.0,same,3,282,16938,52,3162,189678,grape
8,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5330,c.br.o.g_fm_211213.csv,2,12/15/21 04:43:46,drink_4,0.021,2021-12-15 04:43:46,1639543426.0,2021-12-15,15,04:43:46,4,43,46,dark_am,VDM_grape,14.154,041ABFF5CF,grape,2021-12-15 04:43:44.644022399,2021-12-15 04:43:58.798022399,dark,3.0,0.0,same,3,283,17026,52,3163,189766,grape
9,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5369,c.br.o.g_fm_211213.csv,2,12/15/21 05:30:39,drink_4,0.021,2021-12-15 05:30:39,1639546239.0,2021-12-15,15,05:30:39,5,30,39,dark_am,VDM_grape,0.868,041ABFF5CF,grape,2021-12-15 05:30:37.422028800,2021-12-15 05:30:38.290028800,dark,3.0,0.709971,diff,3,330,19839,53,3210,192579,grape
10,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5393,c.br.o.g_fm_211213.csv,2,12/15/21 05:59:10,drink_4,0.021,2021-12-15 05:59:10,1639547950.0,2021-12-15,15,05:59:10,5,59,10,dark_am,VDM_grape,15.878,041ABFF5CF,grape,2021-12-15 05:59:08.109974400,2021-12-15 05:59:23.987974400,dark,3.0,0.0,same,3,359,21550,53,3239,194290,grape
11,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5394,c.br.o.g_fm_211213.csv,2,12/15/21 05:59:26,drink_4,0.021,2021-12-15 05:59:26,1639547966.0,2021-12-15,15,05:59:26,5,59,26,dark_am,VDM_grape,2.042,041ABFF5CF,grape,2021-12-15 05:59:25.903017600,2021-12-15 05:59:27.945017600,dark,3.0,0.0,same,3,359,21566,53,3239,194306,grape
12,flavor,21.12.13,2,041ABFF5CF,1616,467,male,29.5,,5396,c.br.o.g_fm_211213.csv,2,12/15/21 05:59:42,drink_4,0.021,2021-12-15 05:59:42,1639547982.0,2021-12-15,15,05:59:42,5,59,42,dark_am,VDM_grape,194.341,041ABFF5CF,grape,2021-12-15 05:59:32.878003200,2021-12-15 06:02:47.219003200,dark,3.0,0.0,same,3,359,21582,53,3239,194322,grape
